tech,type,n,chunksize,unique_vals,ncolumns,time,gctime,memory,allocs,workers,threads
dask,increment_map,10000000,10000000,1000,4,1.3793100000000002e7,0,0,0,1,8
dask,filter_half,10000000,10000000,1000,4,8.657290000000018e7,0,0,0,1,8
dask,reduce_var_all,10000000,10000000,1000,4,6.256094000000001e8,0,0,0,1,8
dask,reduce_var_single,10000000,10000000,1000,4,7.63518000000003e7,0,0,0,1,8
dask,groupby_single_col,10000000,10000000,1000,4,1.1990553e9,0,0,0,1,8
dask,grouped_reduce_mean_singlecol,10000000,10000000,1000,4,2.0375668000000005e9,0,0,0,1,8
dask,grouped_reduce_mean_allcols,10000000,10000000,1000,4,4.0647024e9,0,0,0,1,8
dask,innerjoin_r_unique,10000000,10000000,1000,4,4.385918000000002e8,0,0,0,1,8
dask,groupby_single_col,10000000,10000000,10000,4,7.491713599999999e9,0,0,0,1,8
dask,grouped_reduce_mean_singlecol,10000000,10000000,10000,4,1.96635456e10,0,0,0,1,8
dask,grouped_reduce_mean_allcols,10000000,10000000,10000,4,3.805301229999999e10,0,0,0,1,8
dask,innerjoin_r_unique,10000000,10000000,10000,4,5.705754000000001e8,0,0,0,1,8
dask,increment_map,10000000,25000000,1000,4,1.3712899999999806e7,0,0,0,1,8
dask,filter_half,10000000,25000000,1000,4,8.586629999999973e7,0,0,0,1,8
dask,reduce_var_all,10000000,25000000,1000,4,6.013304000000001e8,0,0,0,1,8
dask,reduce_var_single,10000000,25000000,1000,4,8.680120000000003e7,0,0,0,1,8
dask,groupby_single_col,10000000,25000000,1000,4,1.1248881000000002e9,0,0,0,1,8
dask,grouped_reduce_mean_singlecol,10000000,25000000,1000,4,2.0897961999999986e9,0,0,0,1,8
dask,grouped_reduce_mean_allcols,10000000,25000000,1000,4,3.9576429000000014e9,0,0,0,1,8
dask,innerjoin_r_unique,10000000,25000000,1000,4,4.553054000000003e8,0,0,0,1,8
dask,groupby_single_col,10000000,25000000,10000,4,7.4306783e9,0,0,0,1,8
dask,grouped_reduce_mean_singlecol,10000000,25000000,10000,4,1.97413672e10,0,0,0,1,8
dask,grouped_reduce_mean_allcols,10000000,25000000,10000,4,3.84548154e10,0,0,0,1,8
dask,innerjoin_r_unique,10000000,25000000,10000,4,5.672496000000002e8,0,0,0,1,8
dask,increment_map,100000000,10000000,1000,4,8.564720000000037e7,0,0,0,1,8
dask,filter_half,100000000,10000000,1000,4,6.346062000000004e8,0,0,0,1,8
dask,reduce_var_all,100000000,10000000,1000,4,2.4043347e9,0,0,0,1,8
dask,reduce_var_single,100000000,10000000,1000,4,3.4708769999999946e8,0,0,0,1,8
dask,groupby_single_col,100000000,10000000,1000,4,8.544412899999999e9,0,0,0,1,8
dask,grouped_reduce_mean_singlecol,100000000,10000000,1000,4,3.0114943000000024e9,0,0,0,1,8
dask,grouped_reduce_mean_allcols,100000000,10000000,1000,4,6.223286999999999e9,0,0,0,1,8
dask,innerjoin_r_unique,100000000,10000000,1000,4,2.6206017e9,0,0,0,1,8
dask,groupby_single_col,100000000,10000000,10000,4,3.3289324900000004e10,0,0,0,1,8
dask,grouped_reduce_mean_singlecol,100000000,10000000,10000,4,3.366609250000002e10,0,0,0,1,8
dask,grouped_reduce_mean_allcols,100000000,10000000,10000,4,5.491544659999999e10,0,0,0,1,8
dask,innerjoin_r_unique,100000000,10000000,10000,4,2.8246261e9,0,0,0,1,8
dask,increment_map,100000000,25000000,1000,4,6.840139999999994e7,0,0,0,1,8
dask,filter_half,100000000,25000000,1000,4,6.265027999999999e8,0,0,0,1,8
dask,reduce_var_all,100000000,25000000,1000,4,2.685247e9,0,0,0,1,8
dask,reduce_var_single,100000000,25000000,1000,4,4.0446770000000054e8,0,0,0,1,8
dask,groupby_single_col,100000000,25000000,1000,4,7.0300825e9,0,0,0,1,8
dask,grouped_reduce_mean_singlecol,100000000,25000000,1000,4,2.7944441999999976e9,0,0,0,1,8
dask,grouped_reduce_mean_allcols,100000000,25000000,1000,4,6.119961500000002e9,0,0,0,1,8
dask,innerjoin_r_unique,100000000,25000000,1000,4,2.6730634e9,0,0,0,1,8
dask,groupby_single_col,100000000,25000000,10000,4,2.00740457e10,0,0,0,1,8
dask,grouped_reduce_mean_singlecol,100000000,25000000,10000,4,3.61300937e10,0,0,0,1,8
dask,grouped_reduce_mean_allcols,100000000,25000000,10000,4,5.775351819999998e10,0,0,0,1,8
dask,innerjoin_r_unique,100000000,25000000,10000,4,3.0809325e9,0,0,0,1,8
dask,increment_map,500000000,10000000,1000,4,3.4823359999999994e8,0,0,0,1,8
dask,filter_half,500000000,10000000,1000,4,3.5096725e9,0,0,0,1,8
dask,reduce_var_all,500000000,10000000,1000,4,9.944406e9,0,0,0,1,8
dask,reduce_var_single,500000000,10000000,1000,4,1.970169200000001e9,0,0,0,1,8
dask,groupby_single_col,500000000,10000000,1000,4,2.0670241e10,0,0,0,1,8
dask,grouped_reduce_mean_singlecol,500000000,10000000,1000,4,6.759290899999996e9,0,0,0,1,8
dask,grouped_reduce_mean_allcols,500000000,10000000,1000,4,1.6140867099999979e10,0,0,0,1,8
dask,innerjoin_r_unique,500000000,10000000,1000,4,3.49498624e10,0,0,0,1,8
dask,groupby_single_col,500000000,10000000,10000,4,2.05102671e10,0,0,0,1,8
dask,grouped_reduce_mean_singlecol,500000000,10000000,10000,4,4.016084979999999e10,0,0,0,1,8
dask,grouped_reduce_mean_allcols,500000000,10000000,10000,4,6.412376389999997e10,0,0,0,1,8
dask,innerjoin_r_unique,500000000,10000000,10000,4,3.58497309e10,0,0,0,1,8
dask,increment_map,500000000,25000000,1000,4,3.3411930000000024e8,0,0,0,1,8
dask,filter_half,500000000,25000000,1000,4,3.3917039e9,0,0,0,1,8
dask,reduce_var_all,500000000,25000000,1000,4,1.35568743e10,0,0,0,1,8
dask,reduce_var_single,500000000,25000000,1000,4,2.0305698999999998e9,0,0,0,1,8
dask,groupby_single_col,500000000,25000000,1000,4,5.78006707e10,0,0,0,1,8
dask,grouped_reduce_mean_singlecol,500000000,25000000,1000,4,7.197576199999986e9,0,0,0,1,8
dask,grouped_reduce_mean_allcols,500000000,25000000,1000,4,1.6778647200000023e10,0,0,0,1,8
dask,innerjoin_r_unique,500000000,25000000,1000,4,3.45098294e10,0,0,0,1,8
dask,groupby_single_col,500000000,25000000,10000,4,9.86456872e10,0,0,0,1,8
dask,grouped_reduce_mean_singlecol,500000000,25000000,10000,4,5.268490580000002e10,0,0,0,1,8
dask,grouped_reduce_mean_allcols,500000000,25000000,10000,4,7.871969910000008e10,0,0,0,1,8
