tech,type,n,chunksize,unique_vals,ncolumns,time,gctime,memory,allocs,workers,threads
dtable,filter_half,10000000,10000000,1000,4,4.834687e8,0.0,235171968,4894617,1,8
dtable,filter_half,10000000,10000000,1000,4,4.98252e8,0.0,235182832,4894762,1,16
dtable,filter_half,10000000,10000000,1000,4,7.31843638e8,0.0,89008,1849,4,4
dtable,filter_half,10000000,10000000,1000,4,7.02728463e8,0.0,165808,3881,8,4
dtable,filter_half,10000000,10000000,1000,4,4.954488e8,0.0,235166272,4894497,1,2
dtable,filter_half,10000000,10000000,1000,4,4.744343e8,0.0,235168672,4894548,1,4
dtable,filter_half,10000000,25000000,1000,4,4.760686e8,0.0,235171296,4894616,1,8
dtable,filter_half,10000000,25000000,1000,4,4.852794e8,0.0,235182896,4894764,1,16
dtable,filter_half,10000000,25000000,1000,4,4.950585e8,0.0,235167168,4894511,1,2
dtable,filter_half,10000000,25000000,1000,4,4.732064e8,0.0,235168528,4894547,1,4
dtable,filter_half,100000000,10000000,1000,4,1.4514482e9,3.507427e8,2350781312,48916637,1,8
dtable,filter_half,100000000,10000000,1000,4,1.0626711e9,3.305266e8,1929366552,48917952,1,16
dtable,filter_half,100000000,10000000,1000,4,1.383985097e9,0.0,941263984,19590147,4,4
dtable,filter_half,100000000,10000000,1000,4,1.276047643e9,0.0,236303224,4917334,8,4
dtable,filter_half,100000000,10000000,1000,4,2.2246716e9,2.154313e8,2350746448,48915981,1,4
dtable,filter_half,100000000,10000000,1000,4,5.3580374e9,5.322912e8,2350766256,48916200,1,2
dtable,filter_half,100000000,25000000,1000,4,2.7487841e9,2.817004e8,1563111168,48907998,1,8
dtable,filter_half,100000000,25000000,1000,4,1.5564537e9,2.523056e8,1409819408,48908637,1,16
dtable,filter_half,100000000,25000000,1000,4,5.5026184e9,6.659372e8,1908102076,48907749,1,2
dtable,filter_half,100000000,25000000,1000,4,2.7231616e9,2.591933e8,1563098672,48907721,1,4
dtable,filter_half,500000000,10000000,1000,4,6.9007947e9,1.4106591e9,11754115984,244583900,1,8
dtable,filter_half,500000000,10000000,1000,4,4.5651163e9,6.851845e8,11754377872,244587525,1,16
dtable,filter_half,500000000,10000000,1000,4,7.420969263e9,1.281388288e9,3766374144,78373137,4,4
dtable,filter_half,500000000,10000000,1000,4,3.676469079e9,0.0,2123997009,44196142,8,4
dtable,filter_half,500000000,10000000,1000,4,2.78587825e10,2.1444847e9,11753884880,244578840,1,2
dtable,filter_half,500000000,10000000,1000,4,1.24884113e10,1.7455194e9,11638975544,244580454,1,4
dtable,filter_half,500000000,25000000,1000,4,6.6940445e9,1.4160737e9,10115367392,244525407,1,8
dtable,filter_half,500000000,25000000,1000,4,5.136853e9,1.2809885e9,10115574160,244528243,1,16
dtable,filter_half,500000000,25000000,1000,4,2.70692892e10,2.1075786e9,10000267932,244523365,1,2
dtable,filter_half,500000000,25000000,1000,4,1.06619698e10,1.788303e9,9885298888,244524057,1,4
dtable,filter_half,1000000000,10000000,1000,4,1.45669121e10,3.2190467e9,23508171312,489173255,1,8
dtable,filter_half,1000000000,10000000,1000,4,1.20401187e10,3.8538042e9,23509245152,489187649,1,16
dtable,filter_half,1000000000,10000000,1000,4,1.3857340244e10,1.905823318e9,8443084812,151845983,4,4
dtable,filter_half,1000000000,10000000,1000,4,9.242026052e9,1.904064872e9,4602156952,93243656,8,4
dtable,filter_half,1000000000,10000000,1000,4,5.51667069e10,4.2091149e9,23507721600,489163184,1,2
dtable,filter_half,1000000000,10000000,1000,4,2.39385599e10,3.3300812e9,23507854528,489166490,1,4
dtable,filter_half,1000000000,25000000,1000,4,1.28307448e10,3.496139e9,19464491808,489076520,1,8
dtable,filter_half,1000000000,25000000,1000,4,1.15534137e10,2.5766421e9,19771583616,489082261,1,16
dtable,filter_half,1000000000,25000000,1000,4,5.3926839e10,4.1791788e9,20115971196,489072467,1,2
dtable,filter_half,1000000000,25000000,1000,4,2.38830993e10,3.1030412e9,20001029512,489073819,1,4
dtable,filter_half,2000000000,10000000,1000,4,2.7629649423e10,3.913685348e9,15403834144,293909932,4,4
dtable,filter_half,2000000000,10000000,1000,4,1.5325633264e10,1.998630752e9,8396406207,157120654,8,4
dtable,groupby_single_col,10000000,10000000,1000,4,2.0583779e9,3.677458e8,2959462704,20222347,1,8
dtable,groupby_single_col,10000000,10000000,1000,4,2.1346631e9,3.922696e8,2959603952,20224648,1,16
dtable,groupby_single_col,10000000,10000000,1000,4,4.873396808e9,1.3102397e7,93843255,1732513,4,4
dtable,groupby_single_col,10000000,10000000,1000,4,4.092092587e9,0.0,6904368,174341,8,4
dtable,groupby_single_col,10000000,10000000,1000,4,2.1580746e9,3.852064e8,2959545616,20223686,1,2
dtable,groupby_single_col,10000000,10000000,1000,4,2.0743326e9,3.756241e8,2959550976,20223815,1,4
dtable,groupby_single_col,10000000,10000000,10000,4,2.7958888e9,5.857668e8,2484070960,22142745,1,8
dtable,groupby_single_col,10000000,10000000,10000,4,2.9760746e9,6.254723e8,2485203856,22143331,1,16
dtable,groupby_single_col,10000000,10000000,10000,4,7.747291782e9,7.0730903e7,266666688,5062282,4,4
