tech,type,n,chunksize,unique_vals,ncolumns,time,gctime,memory,allocs,workers,threads
spark,count,10000000,10000000,1000,4,2.2346099589999537e9,0,0,0,4,4
spark,count,10000000,10000000,1000,4,9.459738580001158e8,0,0,0,4,4
spark,count,10000000,10000000,1000,4,2.164041949999955e9,0,0,0,4,4
spark,count,10000000,10000000,1000,4,1.1531969650000064e9,0,0,0,4,4
spark,count,10000000,10000000,1000,4,2.1299115219999294e9,0,0,0,4,4
spark,count,10000000,10000000,1000,4,9.89921129999857e8,0,0,0,4,4
spark,count,10000000,10000000,10000,4,2.1569311610001025e9,0,0,0,4,4
spark,count,10000000,10000000,10000,4,1.0354147580001154e9,0,0,0,4,4
spark,count,10000000,10000000,10000,4,2.0699743800014403e9,0,0,0,4,4
spark,count,10000000,10000000,10000,4,8.983111030011059e8,0,0,0,4,4
spark,count,10000000,25000000,1000,4,4.017132473999936e9,0,0,0,4,4
spark,count,10000000,25000000,1000,4,2.226769572999956e9,0,0,0,4,4
spark,count,10000000,25000000,1000,4,4.135685442000067e9,0,0,0,4,4
spark,count,10000000,25000000,1000,4,2.1201480350000565e9,0,0,0,4,4
spark,count,10000000,25000000,1000,4,4.006371210999987e9,0,0,0,4,4
spark,count,10000000,25000000,1000,4,2.143826474999969e9,0,0,0,4,4
spark,count,10000000,25000000,1000,4,3.9581255320008497e9,0,0,0,4,4
spark,count,10000000,25000000,1000,4,2.2007424359999275e9,0,0,0,4,4
spark,count,10000000,25000000,1000,4,4.0667457889994693e9,0,0,0,4,4
spark,count,10000000,25000000,1000,4,2.1312788169998384e9,0,0,0,4,4
spark,count,10000000,25000000,1000,4,4.0479606190001507e9,0,0,0,4,4
spark,count,10000000,25000000,1000,4,2.0859638059991994e9,0,0,0,4,4
spark,count,10000000,25000000,10000,4,3.9621580180009913e9,0,0,0,4,4
spark,count,10000000,25000000,10000,4,2.219613303999722e9,0,0,0,4,4
spark,count,10000000,25000000,10000,4,4.0990423370003552e9,0,0,0,4,4
spark,count,10000000,25000000,10000,4,2.190709701000742e9,0,0,0,4,4
spark,count,100000000,10000000,1000,4,1.2799518046000004e10,0,0,0,4,4
spark,count,100000000,10000000,1000,4,4.856047245999889e9,0,0,0,4,4
spark,count,100000000,10000000,1000,4,1.2640279265000118e10,0,0,0,4,4
spark,count,100000000,10000000,1000,4,4.926015580000012e9,0,0,0,4,4
spark,count,100000000,10000000,1000,4,1.290506118799999e10,0,0,0,4,4
spark,count,100000000,10000000,1000,4,5.160626053999977e9,0,0,0,4,4
spark,count,100000000,10000000,10000,4,1.3782916582000326e10,0,0,0,4,4
spark,count,100000000,10000000,10000,4,5.113609743999405e9,0,0,0,4,4
spark,count,100000000,10000000,10000,4,1.3897976577998634e10,0,0,0,4,4
spark,count,100000000,10000000,10000,4,5.417053516999659e9,0,0,0,4,4
spark,count,100000000,25000000,1000,4,1.3897203191000017e10,0,0,0,4,4
spark,count,100000000,25000000,1000,4,5.950115434000054e9,0,0,0,4,4
spark,count,100000000,25000000,1000,4,1.3778961841000183e10,0,0,0,4,4
spark,count,100000000,25000000,1000,4,5.497536480000236e9,0,0,0,4,4
spark,count,100000000,25000000,1000,4,1.3436526942e10,0,0,0,4,4
spark,count,100000000,25000000,1000,4,5.572923362999972e9,0,0,0,4,4
spark,count,100000000,25000000,1000,4,1.3572357990000456e10,0,0,0,4,4
spark,count,100000000,25000000,1000,4,5.98677674100145e9,0,0,0,4,4
spark,count,100000000,25000000,1000,4,1.3528441626998756e10,0,0,0,4,4
spark,count,100000000,25000000,1000,4,5.782548888000747e9,0,0,0,4,4
spark,count,100000000,25000000,1000,4,1.3504862777999733e10,0,0,0,4,4
spark,count,100000000,25000000,1000,4,5.729432512000131e9,0,0,0,4,4
spark,count,100000000,25000000,10000,4,1.4518306755000595e10,0,0,0,4,4
spark,count,100000000,25000000,10000,4,5.776070706999235e9,0,0,0,4,4
spark,count,100000000,25000000,10000,4,1.386075932300082e10,0,0,0,4,4
spark,count,100000000,25000000,10000,4,5.853361733999918e9,0,0,0,4,4
spark,count,500000000,10000000,1000,4,6.5053782540999695e10,0,0,0,4,4
spark,count,500000000,10000000,1000,4,2.2944437908000053e10,0,0,0,4,4
spark,count,500000000,10000000,1000,4,5.808780922800043e10,0,0,0,4,4
spark,count,500000000,10000000,1000,4,2.2572580617999847e10,0,0,0,4,4
spark,count,500000000,10000000,1000,4,5.855375572799994e10,0,0,0,4,4
